JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451044.6194,9.46,,,Vis.,TOO,,,,,C200,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451044.8792,9.5,,,Vis.,MRV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451045.9,9.2,,,Vis.,AKT,,,,,,,,V,,,,OMI CET,,STD,,,,
2451045.9,9.4,,,Vis.,LZT,B,,,,,,,V,,,,OMI CET,,STD,,,,
2451048.5,9.4,,,Vis.,STF,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451049.5,9.6,,,Vis.,SHV,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451049.556,9.3,,,Vis.,SSW,S,,,,,,,V,,,,OMI CET,,STD,,,,
2451051.59,9.7,,,Vis.,GRL,,,,,,,,Z,,,,OMICRON CET,NAS,STD,,,,BAAVSS
2451051.6,9.0,,,Vis.,VSB,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451052.5,9.0,,,Vis.,BSR,,,,,,,,V,,,,OMI CET,,STD,,,,
2451052.6,9.5,,,Vis.,CSM,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451053.5,9.3,,,Vis.,HCS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451053.5,9.6,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451053.6,9.5,,,Vis.,SCZ,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451054.7,9.5,,,Vis.,SET,,,,,,,,V,,,,OMI CET,,STD,,,,
2451055.5,9.5,,,Vis.,FRF,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451055.8958,9.1,,,Vis.,LRD,,,,,,,,V,,,,OMI CET,,STD,,,,
2451056.5,9.5,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451057.5,9.6,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451058.59,9.8,,,Vis.,GRL,,,,,,,,Z,,,,OMICRON CET,NAS,STD,,,,BAAVSS
2451059.55,9.5,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451060.52,9.3,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451066.8507,9.5,,,Vis.,MRV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451067.9,9.4,,,Vis.,LZT,BU,,,,,,,V,,,,OMI CET,,STD,,,,
2451068.5,9.3,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451068.5451,9.47,,,Vis.,TLA,,,,,R220,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451073.0757,9.3,,,Vis.,KSH,,,,,,,,V,,,,OMI CET,,STD,,,,
2451073.08,9.3,,,Vis.,KSH,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,OMI CET,,STD,,,,RASNZ
2451073.4,9.3,,,Vis.,REP,,,,,,,,V,,,,OMI CET,,STD,,,,
2451073.6263,9.69,,,Vis.,DRCA,,,,,R298,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451074.1979,9.1,,,Vis.,LRG,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451075.7,9.4,,,Vis.,CNL,,,,,,,,V,,,,OMI CET,,STD,,,,
2451076.45,9.2,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451076.559,9.07,,,Vis.,JAQ,,,,,G102,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451077.0,9.5,,,Vis.,ZLT,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451077.4,9.0,,,Vis.,CRX,,,,,,,,V,,,,OMI CET,,STD,,,,
2451077.4,8.8,,,Vis.,HBA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451077.6,9.5,,,Vis.,SUS,,,,,,,,V,,,,OMI CET,,STD,,,,
2451077.612,9.4,,,Vis.,SSW,S,,,,,,,V,,,,OMI CET,,STD,,,,
2451077.631,9.3,,,Vis.,KHL,,,,,,,,V,,,,OMI CET,,STD,,,,
2451078.66,9.2,,,Vis.,SAC,,,,,,,,V,,,,OMI CET,,STD,,,,
2451079.5,9.2,,,Vis.,GRL,T,,,,,,,V,,,,OMI CET,NAS,STD,,,,
2451079.5,9.3,,,Vis.,HCS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451080.5,9.2,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451080.5,9.4,,,Vis.,KIL,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451080.5,9.1,,,Vis.,KOS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451080.6,9.3,,,Vis.,JRJ,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451080.6,9.4,,,Vis.,SUS,,,,,,,,V,,,,OMI CET,,STD,,,,
2451080.66,9.2,,,Vis.,SAC,,,,,,,,V,,,,OMI CET,,STD,,,,
2451080.7,8.7,,,Vis.,WEF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451081.4,9.2,,,Vis.,STF,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451081.56,9.1,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451082.0,9.2,,,Vis.,KSH,K,na,,na,RASNZ ARCHIVAL,0,,V,,,,OMI CET,,STD,,,,RASNZ
2451082.0014,9.2,,,Vis.,KSH,,,,,,,,V,,,,OMI CET,,STD,,,,
2451083.5,8.7,,,Vis.,EJO,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451083.7,8.8,,,Vis.,AKT,,,,,,,,V,,,,OMI CET,,STD,,,,
2451083.7799,9.4,,,Vis.,MRV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451085.7,8.7,,,Vis.,WEF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451086.1,9.2,,,Vis.,CVR,M,,,,,,,V,,,,OMI CET,,STD,,,,
2451087.4236,9.13,,,Vis.,TOO,,,,,C200,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451087.5,9.1,,,Vis.,PPS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451087.54,9.2,,,Vis.,SAC,,,,,,,,V,,,,OMI CET,,STD,,,,
2451088.5,9.1,,,Vis.,CRX,,,,,,,,V,,,,OMI CET,,STD,,,,
2451088.8,9.3,,,Vis.,LZT,MU,,,,,,,V,,,,OMI CET,,STD,,,,
2451093.0208,<8.02,,,Vis.,TJP,,,,,B7X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451095.0243,<8.02,,,Vis.,TJP,,,,,B7X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451095.7,9.2,,,Vis.,MOW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451096.4388,9.09,,,Vis.,TLA,,,,,R220,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451097.42,9.1,,,Vis.,HSY,,,,,,,,V,,,,OMI CET,NAS,STD,,,,
2451097.5,9.2,,,Vis.,HCS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451097.5,9.0,,,Vis.,SHV,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451097.6840,9.1,,,Vis.,MRV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451097.7,8.8,,,Vis.,SHA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451098.7,8.8,,,Vis.,WEF,V,,,,,,,V,,,,OMI CET,,STD,,,,
2451099.33,8.7,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451099.4,8.9,,,Vis.,BSR,,,,,,,,V,,,,OMI CET,,STD,,,,
2451099.4,8.9,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451100.5,9.0,,,Vis.,CRX,,,,,,,,V,,,,OMI CET,,STD,,,,
2451100.5,9.0,,,Vis.,RRZ,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451100.563,8.9,,,Vis.,SSW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451100.6,9.1,,,Vis.,SET,,,,,,,,V,,,,OMI CET,,STD,,,,
2451101.418,8.58,,,Vis.,TOO,,,,,B10X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451101.475,8.9,,,Vis.,WBK,,,,,R260,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451101.5,8.9,,,Vis.,BMU,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451101.5,8.8,,,Vis.,SGX,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451101.5,8.9,,,Vis.,VDE,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451101.6,9.0,,,Vis.,JRJ,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451101.7,9.0,,,Vis.,PLA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451101.7,8.6,,,Vis.,WEF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451102.4,8.2,,,Vis.,GUN,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451102.4,8.9,,,Vis.,STF,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451102.4,9.0,,,Vis.,VBE,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451102.6,9.3,,,Vis.,SUS,,,,,,,,V,,,,OMI CET,,STD,,,,
2451102.7,8.6,,,Vis.,WEF,V,,,,,,,V,,,,OMI CET,,STD,,,,
2451103.3,8.7,,,Vis.,VOL,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451103.333,9.0,,,Vis.,KHL,,,,,,,,V,,,,OMI CET,,STD,,,,
2451103.44,8.5,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451103.5,8.6,,,Vis.,KIL,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451103.7,8.6,,,Vis.,AKT,,,,,,,,V,,,,OMI CET,,STD,,,,
2451104.351,8.6,,,Vis.,SSW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451104.4388,8.66,,,Vis.,JAQ,,,,,G102,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451104.4652,8.52,,,Vis.,CKM,,,,,B20X60,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451104.50,9.1,,,Vis.,SAC,,,,,,,,V,,,,OMI CET,,STD,,,,
2451104.6486,8.9,,,Vis.,MRV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451104.7,8.6,,,Vis.,LEV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451105.35,8.5,,,Vis.,RMQ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451105.4,8.8,,,Vis.,BMU,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451105.4,8.8,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451105.4,8.8,,,Vis.,SJZ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451105.5,8.7,,,Vis.,SZW,A,,,,,,,V,,,,OMI CET,,STD,,,,
2451106.0659,8.22,,,Vis.,TJP,,,,,B7X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451106.4,8.5,,,Vis.,LME,,,,,,,,V,,,,OMI CET,,STD,,,,
2451106.7,8.9,,,Vis.,MOW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451107.42,9.1,,,Vis.,SAC,W,,,,,,,V,,,,OMI CET,,STD,,,,
2451107.7,8.7,,,Vis.,PLA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451108.5,8.6,,,Vis.,RRZ,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451108.5,8.7,,,Vis.,SHV,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451108.6840,8.7,,,Vis.,KRB,,,,,,,,V,,,,OMI CET,,STD,,,,
2451109.5,7.8,,,Vis.,LEJ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451109.7,8.3,,,Vis.,WEF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451109.9285,8.6,,,Vis.,KSH,,,,,,,,V,,,,OMI CET,,STD,,,,
2451110.3715,8.47,,,Vis.,TOO,,,,,B10X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451110.4,8.1,,,Vis.,GZN,,80,88,SA1996,,,,Z,,,,OMI CET,AAVSO,STD,,,,
2451110.4,8.2,,,Vis.,VED,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451110.4027,8.38,,,Vis.,MDI,,,,,B20X60,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451110.4513,8.02,,,Vis.,MEAJ,,,,,B20X60,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451110.4659,8.52,,,Vis.,CKM,,,,,B20X60,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451110.5,8.4,,,Vis.,CRX,,,,,,,,V,,,,OMI CET,,STD,,,,
2451110.5,8.6,,,Vis.,FRF,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451110.5,8.5,,,Vis.,PPS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451110.5,8.6,,,Vis.,SLY,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451110.538,8.4,,,Vis.,SSW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451110.5521,8.4,,,Vis.,ARF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451110.6,8.3,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451110.6,8.2,,,Vis.,WEF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451110.8,7.9,,,Vis.,KRS,,,,,,,,V,,,,OMI CET,,STD,,,,
2451111.4,8.4,,,Vis.,SJZ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451111.5,8.2,,,Vis.,CRX,,,,,,,,V,,,,OMI CET,,STD,,,,
2451111.5,8.2,,,Vis.,EJO,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451111.5,8.6,,,Vis.,SHS,,,,,,,,V,,,,OMI CET,,STD,,,,
2451111.7,8.2,,,Vis.,WEF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451111.764,8.4,,,Vis.,HZJ,,,,,,,,V,,,,OMI CET,,STD,,,,
2451111.993,7.92,,,Vis.,TJP,,,,,B7X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451112.3715,8.02,,,Vis.,MEAJ,,,,,B20X60,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451112.4,8.1,,,Vis.,STF,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451112.4111,8.3,,,Vis.,TLA,,,,,B16X70,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451112.4406,8.4,,,Vis.,IRM,AV,,,,,,,V,,,,OMI CET,,STD,,,,
2451112.5,7.9,,,Vis.,KIL,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451112.6,8.5,,,Vis.,SET,,,,,,,,V,,,,OMI CET,,STD,,,,
2451112.75,8.0,,,Vis.,SDF,,,,,,,,V,,,,OMI CET,,STD,,,,
2451113.3,8.5,,,Vis.,HBA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451113.33,8.4,,,Vis.,SAC,,,,,,,,V,,,,OMI CET,,STD,,,,
2451113.412,8.1,,,Vis.,SSW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451113.5,8.0,,,Vis.,BMU,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451113.5,7.8,,,Vis.,RRZ,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451113.5,8.0,,,Vis.,SGX,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451113.5,8.0,,,Vis.,VDE,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451114.4,7.6,,,Vis.,RJV,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451114.4062,8.22,,,Vis.,TLA,,,,,B16X70,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451114.5,8.1,,,Vis.,PPS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451114.9375,7.9,,,Vis.,KSH,,,,,,,,V,,,,OMI CET,,STD,,,,
2451115.343,7.9,,,Vis.,HLQ,,,,,B10X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451115.4465,7.77,,,Vis.,JAQ,,,,,G102,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451115.4479,7.9,,,Vis.,TOO,,,,,B10X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451115.7,7.8,,,Vis.,WEF,MU,,,,,,,V,,,,OMI CET,,STD,,,,
2451116.5,7.9,,,Vis.,FRF,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451116.5,8.6,,,Vis.,OV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451116.6,7.7,,,Vis.,MOW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451117.3618,7.4,,,Vis.,FSE,,,,,,,,V,,,,OMI CET,,STD,,,,
2451117.4,7.5,,,Vis.,VED,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451117.4,7.4,,,Vis.,GZN,,73,75,SA1996,,,,Z,,,,OMI CET,AAVSO,STD,,,,
2451117.5,7.8,,,Vis.,JRJ,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451118.3013,7.65,,,Vis.,TLA,,,,,B16X70,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451118.495,7.6,,,Vis.,SSW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451119.38,7.6,,,Vis.,SAC,MW,,,,,,,V,,,,OMI CET,,STD,,,,
2451120.313,7.1,,,Vis.,KHL,,,,,,,,V,,,,OMI CET,,STD,,,,
2451120.49,7.4,,,Vis.,GRL,,,,,,,,Z,,,,OMICRON CET,NAS,STD,,,,BAAVSS
2451120.5,7.5,,,Vis.,MZS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451120.5,7.1,,,Vis.,RRZ,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451121.4527,7.08,,,Vis.,TOO,,,,,B12X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451122.38,6.4,,,Vis.,SAC,,,,,,,,V,,,,OMI CET,,STD,,,,
2451122.5729,6.8,,,Vis.,LX,,,,,,,,V,,,,OMI CET,,STD,,,,
2451122.7,7.0,,,Vis.,WEF,M,,,,,,,V,,,,OMI CET,,STD,,,,
2451123.323,6.9,,,Vis.,SSW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451123.4166,7.36,,,Vis.,TLA,,,,,B16X70,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451123.6,6.9,,,Vis.,WEF,M,,,,,,,V,,,,OMI CET,,STD,,,,
2451124.0,6.98,,,Vis.,TJP,,,,,B7X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451124.20,7.0,,,Vis.,SVW,W,,,,,,,V,,,,OMI CET,,STD,,,,
2451124.3,6.4,,,Vis.,GUN,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451124.3208,6.52,,,Vis.,JAQ,,,,,G102,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451124.3472,6.56,,,Vis.,MDI,,,,,B20X60,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451124.3572,6.5,,,Vis.,IRM,A,,,,,,,V,,,,OMI CET,,STD,,,,
2451124.4,7.0,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451124.4,7.2,,,Vis.,HBA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451124.5,7.0,,,Vis.,JRJ,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451124.7,6.9,,,Vis.,LZT,M,,,,,,,V,,,,OMI CET,,STD,,,,
2451124.7,6.5,,,Vis.,PLA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451124.9285,6.4,,,Vis.,KSH,,,,,,,,V,,,,OMI CET,,STD,,,,
2451125.0111,6.6,,,Vis.,SSU,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451125.3,6.9,,,Vis.,VOL,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451125.4,6.7,,,Vis.,BSR,,,,,,,,V,,,,OMI CET,,STD,,,,
2451125.4,6.5,,,Vis.,GGX,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451125.5,7.2,,,Vis.,FRF,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451125.5,6.6,,,Vis.,PPS,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451125.5,6.4,,,Vis.,RRZ,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451125.5,6.6,,,Vis.,SET,,,,,,,,V,,,,OMI CET,,STD,,,,
2451125.5,6.8,,,Vis.,SHV,,,,,,,,V,,,,OMI CET,MCSE,STD,,,,
2451125.53,6.6,,,Vis.,GRL,HMTU,,,,,,,V,,,,OMI CET,NAS,STD,,,,
2451125.7,6.2,,,Vis.,MOL,S,,,,,,,V,,,,OMI CET,,STD,,,,
2451125.9895,6.16,,,Vis.,TJP,,,,,B7X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451126.3,6.3,,,Vis.,STF,M,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451126.36,6.7,,,Vis.,RJV,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451126.43750,6.1,,,Vis.,SGQ,K,64,55,Tirion2000.0,""" 	Roma, Sesto Celere. Bino 12x50 and Refractor 30x75. """,,,Z,,,,omi Cet,AAVSO,STD,,,,
2451126.5,6.6,,,Vis.,MOW,,,,,,,,V,,,,OMI CET,,STD,,,,
2451126.58,6.7,,,Vis.,DVA,,,,,,,,V,,,,OMI CET,,STD,,,,
2451126.6042,6.4,,,Vis.,KB,,,,,,,,V,,,,OMI CET,,STD,,,,
2451126.7,6.5,,,Vis.,WEF,M,,,,,,,V,,,,OMI CET,,STD,,,,
2451126.9743,6.3,,,Vis.,SSU,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451127.35,6.5,,,Vis.,HSY,S,,,,,,,V,,,,OMI CET,NAS,STD,,,,
2451127.4,6.7,,,Vis.,BMU,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451127.46181,5.85,,,Vis.,SGQ,K,64,55,Tirion2000.0,""" 	Roma, Sesto Celere. Bino 12x50. """,,,Z,,,,omi Cet,AAVSO,STD,,,,
2451127.4777,6.2,,,Vis.,LX,HU,,,,,,,V,,,,OMI CET,,STD,,,,
2451127.5,6.5,,,Vis.,KANB,W,55;64,67;71,0214-03(A),AAVSO CHART,,,Z,,,,OMI CET,AAVSO,STD,,,,
2451127.6,6.0,,,Vis.,OV,,,,,,,,V,,,,OMI CET,,STD,,,,
2451127.6,6.2,,,Vis.,WEF,U,,,,,,,V,,,,OMI CET,,STD,,,,
2451128.3,6.3,,,Vis.,CMG,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451128.33,6.1,,,Vis.,SAC,,,,,,,,V,,,,OMI CET,,STD,,,,
2451128.3402,6.36,,,Vis.,BNMA,,,,,B10X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451128.3819,5.88,,,Vis.,DRCA,,,,,B10X50,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451128.3958,5.53,,,Vis.,MEAJ,,,,,B20X60,,,Z,,,,OMICRON CET,BAA-VSS,STD,,,,BAAVSS
2451128.4,6.4,,,Vis.,JRJ,,,,,,,,V,,,,OMI CET,KNVWS,STD,,,,
2451128.4,5.7,,,Vis.,LME,,,,,,,,V,,,,OMI CET,,STD,,,,
2451128.4,5.8,,,Vis.,STF,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
2451128.4,6.0,,,Vis.,VED,,,,,,,,V,,,,OMI CET,AFOEV,STD,,,,
